2023-07-25 03:05:25,884 INFO    Thread-12 (_run_job):80469 [wandb_init.py:_log_setup():507] Logging user logs to /Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines/wandb/run-20230725_030525-wya8k53t/logs/debug.log
2023-07-25 03:05:25,884 INFO    Thread-12 (_run_job):80469 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines/wandb/run-20230725_030525-wya8k53t/logs/debug-internal.log
2023-07-25 03:05:25,884 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():547] calling init triggers
2023-07-25 03:05:25,884 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 32}
config: {}
2023-07-25 03:05:25,884 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():596] starting backend
2023-07-25 03:05:25,884 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():600] setting up manager
2023-07-25 03:05:25,886 INFO    Thread-12 (_run_job):80469 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-07-25 03:05:25,888 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():606] backend started and connected
2023-07-25 03:05:25,891 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_config_callback():1281] config_cb None None {'batch_size': 32}
2023-07-25 03:05:25,893 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_label_probe_notebook():1233] probe notebook
2023-07-25 03:05:25,893 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_label_probe_notebook():1243] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-07-25 03:05:25,893 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():705] updated telemetry
2023-07-25 03:05:25,909 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():738] communicating run to backend with 60.0 second timeout
2023-07-25 03:05:26,435 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_on_init():2173] communicating current version
2023-07-25 03:05:26,482 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_on_init():2182] got version response 
2023-07-25 03:05:26,482 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():789] starting run threads in backend
2023-07-25 03:05:28,777 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_console_start():2152] atexit reg
2023-07-25 03:05:28,780 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_redirect():2007] redirect: SettingsConsole.WRAP_RAW
2023-07-25 03:05:28,780 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_redirect():2072] Wrapping output streams.
2023-07-25 03:05:28,780 INFO    Thread-12 (_run_job):80469 [wandb_run.py:_redirect():2097] Redirects installed.
2023-07-25 03:05:28,780 INFO    Thread-12 (_run_job):80469 [wandb_init.py:init():830] run started, returning control to user process
2023-07-25 03:05:34,884 INFO    MainThread:80469 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-07-25 03:05:34,885 INFO    MainThread:80469 [wandb_init.py:_pause_backend():418] pausing backend
2023-07-25 03:05:39,261 WARNING MsgRouterThr:80469 [router.py:message_loop():77] message_loop has been closed
2023-07-25 03:05:40,132 ERROR   Thread-15 (_run_job):80469 [jupyter.py:notebook_metadata():224] Failed to detect the name of this notebook, you can set it manually with the WANDB_NOTEBOOK_NAME environment variable to enable code saving.
2023-07-25 03:05:41,169 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Current SDK version is 0.15.5
2023-07-25 03:05:41,171 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Configure stats pid to 80469
2023-07-25 03:05:41,171 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Loading settings from /Users/lee/.config/wandb/settings
2023-07-25 03:05:41,171 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Loading settings from /Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines/wandb/settings
2023-07-25 03:05:41,171 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'sweep-test', 'entity': 'suwon-pabby', 'root_dir': '/Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines', 'run_id': 'okbe785p', 'sweep_param_path': '/Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines/wandb/sweep-cdixm3ze/config-okbe785p.yaml', 'sweep_id': 'cdixm3ze'}
2023-07-25 03:05:41,171 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-25 03:05:41,172 INFO    Thread-15 (_run_job):80469 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-07-25 03:05:41,172 INFO    Thread-15 (_run_job):80469 [wandb_init.py:_log_setup():507] Logging user logs to /Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines/wandb/run-20230725_030541-okbe785p/logs/debug.log
2023-07-25 03:05:41,172 INFO    Thread-15 (_run_job):80469 [wandb_init.py:_log_setup():508] Logging internal logs to /Users/lee/Desktop/이의진/Programmers/finalProject/AIInfra/baselines/wandb/run-20230725_030541-okbe785p/logs/debug-internal.log
2023-07-25 03:05:41,172 INFO    Thread-15 (_run_job):80469 [wandb_init.py:init():547] calling init triggers
2023-07-25 03:05:41,172 INFO    Thread-15 (_run_job):80469 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 32}
config: {}
2023-07-25 03:05:41,172 INFO    Thread-15 (_run_job):80469 [wandb_init.py:init():596] starting backend
